CLEANED NAME,GAME RESULT,POINT DIFFERENCE,PACE,HOME TEAM OFFENSIVE RATING,HOME TEAM DEFENSIVE RATING,HOME TEAM 2PT%,HOME TEAM 3PT%,HOME TEAM FT%,HOME TEAM REBOUNDS,HOME TEAM ASSISTS,HOME TEAM STEALS,HOME TEAM BLOCKS,HOME TEAM TURNOVERS,HOME TEAM AVERAGE PLUS/MINUS,HOME TEAM DOUBLE DOUBLES,HOME TEAM TOP 50 CONTRACT PLAYERS,AWAY TEAM OFFENSIVE RATING,AWAY TEAM DEFENSIVE RATING,AWAY TEAM 2PT%,AWAY TEAM 3PT%,AWAY TEAM FT%,AWAY TEAM REBOUNDS,AWAY TEAM ASSISTS,AWAY TEAM STEALS,AWAY TEAM BLOCKS,AWAY TEAM TURNOVERS,AWAY TEAM AVERAGE PLUS/MINUS,AWAY TEAM DOUBLE DOUBLES,AWAY TEAM TOP 50 CONTRACT PLAYERS
20191022-H-LAC-A-LAL,1,10,95.3,117.5,108,0.62,0.35483871,0.708333333,45,24,8,5,14,5.555555556,0,1,107,118.7,0.461538462,0.393939394,0.714285714,41,20,4,7,14,-5,1,2
20191022-H-TOR-A-NOP,1,8,102.2,115.2,107.5,0.444444444,0.35,0.842105263,57,23,7,3,16,5,1,5,108.1,114.8333333,0.421052632,0.422222222,0.85,53,30,4,9,19,-3.333333333,1,2
20191023-H-BRK-A-MIN,0,1,105.2,108.5,110.4,0.492537313,0.441176471,0.576923077,48,19,8,9,16,-0.5,1,1,109.3,108.3,0.507692308,0.302325581,0.785714286,52,23,9,4,13,0.5,1,2
20191023-H-CHO-A-CHI,1,1,101.6,124,123.5555556,0.5,0.522727273,0.8125,41,28,3,4,19,0.555555556,1,1,123,124.2,0.533333333,0.3,0.818181818,49,25,11,4,10,-0.5,1,0
20191023-H-DAL-A-WAS,1,8,103.7,104.2,97.1,0.6,0.305555556,0.818181818,46,17,6,5,19,4,0,1,96.4,105.5,0.5,0.268292683,0.833333333,47,26,6,3,17,-3.333333333,2,1
20191023-H-IND-A-DET,0,9,100.2,109.8,118.7272727,0.485294118,0.380952381,0.833333333,36,26,8,6,15,-4.090909091,2,1,118.8,111.3636364,0.555555556,0.458333333,0.787878788,45,26,5,6,18,4.090909091,1,1
20191023-H-MIA-A-MEM,1,19,112,107.2,89.5,0.492537313,0.388888889,0.846153846,51,18,9,8,21,7.916666667,1,1,90.2,104.8333333,0.578947368,0.15625,0.666666667,40,22,9,7,24,-7.916666667,0,0
20191023-H-ORL-A-CLE,1,9,98.7,95.2,86,0.5,0.3,0.578947368,46,24,12,4,13,4.5,1,1,86.1,94.88888889,0.444444444,0.264705882,0.666666667,54,20,8,2,16,-5,2,1
20191023-H-PHI-A-BOS,1,14,101.8,105.2,92.58333333,0.535714286,0.24137931,0.722222222,62,24,6,7,15,5.833333333,2,4,91.4,106.0833333,0.40625,0.269230769,0.588235294,41,18,4,2,10,-5.833333333,1,4
20191023-H-PHO-A-SAC,1,29,108.7,114.1,90.30769231,0.584615385,0.333333333,0.833333333,44,31,13,9,14,11.15384615,3,1,87.4,112.1538462,0.413793103,0.344827586,0.653846154,47,17,5,5,26,-11.15384615,1,3
